SimTime,Node_Speed_kmh,Distance_to_RSU,Fragments_Received_Out_Of_25
11.446141,50.381376,0,1
11.448151,50.381376,0,2
11.450148,50.381376,0,3
11.452145,50.381376,0,4
11.454142,50.381376,0,5
11.456139,50.381376,0,6
11.458149,50.381376,0,7
11.460146,50.381376,0,8
11.462143,50.381376,0,9
11.464140,50.381376,0,10
11.766658,50.219581,0,1
11.768655,50.219581,0,2
11.772649,50.219581,0,3
11.774646,50.219581,0,4
11.776656,50.219581,0,5
11.782647,50.219581,0,6
11.788651,50.219581,0,7
11.790648,50.219581,0,8
11.792658,50.219581,0,9
11.796652,50.219581,0,10
20.445796,50.100114,0,1
20.447806,50.100114,0,2
20.449803,50.100114,0,3
20.451800,50.100114,0,4
20.453797,50.100114,0,5
20.455794,50.100114,0,6
20.457804,50.100114,0,7
20.461798,50.100114,0,8
20.465805,50.100114,0,9
20.467802,50.100114,0,10
23.645689,43.729103,0,1
23.647699,43.729103,0,2
23.649696,43.729103,0,3
23.651693,43.729103,0,4
23.653690,43.729103,0,5
23.655687,43.729103,0,6
23.657697,43.729103,0,7
23.659694,43.729103,0,8
23.661691,43.729103,0,9
23.663688,43.729103,0,10
58.790025,50.010829,0,1
58.792035,50.010829,0,2
58.794032,50.010829,0,3
58.796029,50.010829,0,4
58.798026,50.010829,0,5
58.800023,50.010829,0,6
58.802033,50.010829,0,7
58.804030,50.010829,0,8
58.806027,50.010829,0,9
58.808024,50.010829,0,10
11.446141,50.381376,0,1
11.448151,50.381376,0,2
11.450148,50.381376,0,3
11.452145,50.381376,0,4
11.454142,50.381376,0,5
11.456139,50.381376,0,6
11.458149,50.381376,0,7
11.460146,50.381376,0,8
11.462143,50.381376,0,9
11.464140,50.381376,0,10
11.766658,50.219581,0,1
11.768655,50.219581,0,2
11.772649,50.219581,0,3
11.774646,50.219581,0,4
11.776656,50.219581,0,5
11.782647,50.219581,0,6
11.788651,50.219581,0,7
11.790648,50.219581,0,8
11.792658,50.219581,0,9
11.796652,50.219581,0,10
20.445796,50.100114,0,1
20.447806,50.100114,0,2
20.449803,50.100114,0,3
20.451800,50.100114,0,4
20.453797,50.100114,0,5
20.455794,50.100114,0,6
20.457804,50.100114,0,7
20.461798,50.100114,0,8
20.465805,50.100114,0,9
20.467802,50.100114,0,10
23.645689,43.729103,0,1
23.647699,43.729103,0,2
23.649696,43.729103,0,3
23.651693,43.729103,0,4
23.653690,43.729103,0,5
23.655687,43.729103,0,6
23.657697,43.729103,0,7
23.659694,43.729103,0,8
23.661691,43.729103,0,9
23.663688,43.729103,0,10
58.790025,50.010829,0,1
58.792035,50.010829,0,2
58.794032,50.010829,0,3
58.796029,50.010829,0,4
58.798026,50.010829,0,5
58.800023,50.010829,0,6
58.802033,50.010829,0,7
58.804030,50.010829,0,8
58.806027,50.010829,0,9
58.808024,50.010829,0,10
11.446141,50.381376,0,1
11.448151,50.381376,0,2
11.450148,50.381376,0,3
11.452145,50.381376,0,4
11.454142,50.381376,0,5
11.456139,50.381376,0,6
11.458149,50.381376,0,7
11.460146,50.381376,0,8
11.462143,50.381376,0,9
11.464140,50.381376,0,10
11.766658,50.219581,0,1
11.768655,50.219581,0,2
11.772649,50.219581,0,3
11.774646,50.219581,0,4
11.776656,50.219581,0,5
11.782647,50.219581,0,6
11.788651,50.219581,0,7
11.790648,50.219581,0,8
11.792658,50.219581,0,9
11.796652,50.219581,0,10
20.445796,50.100114,0,1
20.447806,50.100114,0,2
20.449803,50.100114,0,3
20.451800,50.100114,0,4
20.453797,50.100114,0,5
20.455794,50.100114,0,6
20.457804,50.100114,0,7
20.461798,50.100114,0,8
20.465805,50.100114,0,9
20.467802,50.100114,0,10
23.645689,43.729103,0,1
23.647699,43.729103,0,2
23.649696,43.729103,0,3
23.651693,43.729103,0,4
23.653690,43.729103,0,5
23.655687,43.729103,0,6
23.657697,43.729103,0,7
23.659694,43.729103,0,8
23.661691,43.729103,0,9
23.663688,43.729103,0,10
58.790025,50.010829,0,1
58.792035,50.010829,0,2
58.794032,50.010829,0,3
58.796029,50.010829,0,4
58.798026,50.010829,0,5
58.800023,50.010829,0,6
58.802033,50.010829,0,7
58.804030,50.010829,0,8
58.806027,50.010829,0,9
58.808024,50.010829,0,10
11.446141,50.381376,0,1
11.448151,50.381376,0,2
11.450148,50.381376,0,3
11.452145,50.381376,0,4
11.454142,50.381376,0,5
11.456139,50.381376,0,6
11.458149,50.381376,0,7
11.460146,50.381376,0,8
11.462143,50.381376,0,9
11.464140,50.381376,0,10
11.766658,50.219581,0,1
11.768655,50.219581,0,2
11.772649,50.219581,0,3
11.774646,50.219581,0,4
11.776656,50.219581,0,5
11.782647,50.219581,0,6
11.788651,50.219581,0,7
11.790648,50.219581,0,8
11.792658,50.219581,0,9
11.796652,50.219581,0,10
20.445796,50.100114,0,1
20.447806,50.100114,0,2
20.449803,50.100114,0,3
20.451800,50.100114,0,4
20.453797,50.100114,0,5
20.455794,50.100114,0,6
20.457804,50.100114,0,7
20.461798,50.100114,0,8
20.465805,50.100114,0,9
20.467802,50.100114,0,10
23.645689,43.729103,0,1
23.647699,43.729103,0,2
23.649696,43.729103,0,3
23.651693,43.729103,0,4
23.653690,43.729103,0,5
23.655687,43.729103,0,6
23.657697,43.729103,0,7
23.659694,43.729103,0,8
23.661691,43.729103,0,9
23.663688,43.729103,0,10
58.790025,50.010829,0,1
58.792035,50.010829,0,2
58.794032,50.010829,0,3
58.796029,50.010829,0,4
58.798026,50.010829,0,5
58.800023,50.010829,0,6
58.802033,50.010829,0,7
58.804030,50.010829,0,8
58.806027,50.010829,0,9
58.808024,50.010829,0,10
11.446141,50.381376,0,1
11.448151,50.381376,0,2
11.450148,50.381376,0,3
11.452145,50.381376,0,4
11.454142,50.381376,0,5
11.456139,50.381376,0,6
11.458149,50.381376,0,7
11.460146,50.381376,0,8
11.462143,50.381376,0,9
11.464140,50.381376,0,10
11.766658,50.219581,0,1
11.768655,50.219581,0,2
11.772649,50.219581,0,3
11.774646,50.219581,0,4
11.776656,50.219581,0,5
11.782647,50.219581,0,6
11.788651,50.219581,0,7
11.790648,50.219581,0,8
11.792658,50.219581,0,9
11.796652,50.219581,0,10
20.445796,50.100114,0,1
20.447806,50.100114,0,2
20.449803,50.100114,0,3
20.451800,50.100114,0,4
20.453797,50.100114,0,5
20.455794,50.100114,0,6
20.457804,50.100114,0,7
20.461798,50.100114,0,8
20.465805,50.100114,0,9
20.467802,50.100114,0,10
23.645689,43.729103,0,1
23.647699,43.729103,0,2
23.649696,43.729103,0,3
23.651693,43.729103,0,4
23.653690,43.729103,0,5
23.655687,43.729103,0,6
23.657697,43.729103,0,7
23.659694,43.729103,0,8
23.661691,43.729103,0,9
23.663688,43.729103,0,10
58.790025,50.010829,0,1
58.792035,50.010829,0,2
58.794032,50.010829,0,3
58.796029,50.010829,0,4
58.798026,50.010829,0,5
58.800023,50.010829,0,6
58.802033,50.010829,0,7
58.804030,50.010829,0,8
58.806027,50.010829,0,9
58.808024,50.010829,0,10
